product_name,product_id,url,image,price,scraped_at
Mini Beauty Bag,8280100143349,https://www.glossier.com/en-lt/products/mini-beauty-bag,https://www.glossier.com/cdn/shop/files/glossier-pink-beautybag-carousel-01_271x.png?v=1762201008,"€40,95",2026-04-20T20:39:25
After Baume,44416231604469,https://www.glossier.com/en-lt/products/glossier-after-baume?variant=44416231604469,"https://glossier-prod.imgix.net/files/glossier-skincare-afterbaume-carousel-01.png?auto=compress,format&cs=srgb","€39,95 EUR",2026-04-20T20:39:26
Body Hero Dry-Touch Oil Mist,8035305980149,https://www.glossier.com/en-lt/products/body-hero-dry-touch-oil-mist,https://www.glossier.com/cdn/shop/files/glossier-bodyhero-oilmoist-carousel-01_271x.png?v=1762887218,"€34,95",2026-04-20T20:39:26
Glossier You Solid,8035305390325,https://www.glossier.com/en-lt/products/glossier-you-solid,https://www.glossier.com/cdn/shop/files/glossier-fragrance-you-solid-01_271x.png?v=1762200226,"€40,95",2026-04-20T20:39:27
Daily Oil Wash,9119274959093,https://www.glossier.com/en-lt/products/body-hero-daily-oil-wash,https://www.glossier.com/cdn/shop/files/glossier-bodyhero-oilwash-carousel-01_271x.png?v=1762201016,"€32,95",2026-04-20T20:39:27
Daily Perfecting Lotion,9119279120629,https://www.glossier.com/en-lt/products/body-hero-daily-perfecting-lotion,https://www.glossier.com/cdn/shop/files/glossier-bodyhero-perfectinglotion-carousel-01_271x.png?v=1762201016,"€32,95",2026-04-20T20:39:28
No. 1 Pencil,8955900821749,https://www.glossier.com/en-lt/products/no-1-pencil,https://www.glossier.com/cdn/shop/files/glossier-no1-pencil-rococo-01_271x.png?v=1762200270,"€23,95",2026-04-20T20:39:29
Priming Moisturizer,8035306078453,https://www.glossier.com/en-lt/products/priming-moisturizer,https://www.glossier.com/cdn/shop/files/glossier-skincare-priming-moisturizer-carousel-1_271x.png?v=1762200242,"€30,95",2026-04-20T20:39:30
Full Orbit,8185258410229,https://www.glossier.com/en-lt/products/full-orbit,https://www.glossier.com/cdn/shop/files/glossier-skincare-full-orbit-carousel-01_271x.png?v=1762200809,"€32,95",2026-04-20T20:39:30
Cloud Paint Duo,8255693258997,https://www.glossier.com/en-lt/products/cloud-paint-duo,https://www.glossier.com/cdn/shop/files/glossier-cp-duo-carousel-1_271x.png?v=1762200969,"€44,95",2026-04-20T20:39:32
Lash Slick,8035305554165,https://www.glossier.com/en-lt/products/lash-slick,https://www.glossier.com/cdn/shop/files/glossier-makeup-lashslick-black-01_271x.png?v=1762200231,"€23,95",2026-04-20T20:39:32
Stretch Fluid Foundation,8075554783477,https://www.glossier.com/en-lt/products/stretch-fluid-foundation,https://www.glossier.com/cdn/shop/files/glossier-stretch-foundation-very-deep-4-carousel-01_271x.png?v=1762200503,"€39,95",2026-04-20T20:39:33
Stretch Balm Concealer,8087462052085,https://www.glossier.com/en-lt/products/stretch-balm-concealer,https://www.glossier.com/cdn/shop/files/glossier-stretch-concealer-very-deep-4-carousel-01_271x.png?v=1762200570,"€25,95",2026-04-20T20:39:34
Stretch Face Duo,8096707150069,https://www.glossier.com/en-lt/products/stretch-face-duo,https://www.glossier.com/cdn/shop/files/glossier-complexion-duo-carousel-01_271x.png?v=1762200597,"€58,95",2026-04-20T20:39:36
Original Pink Hoodie,8035307749621,https://www.glossier.com/en-lt/products/original-pink-hoodie,https://www.glossier.com/cdn/shop/products/glossier-pinkhoodie-carousel-01_271x.png?v=1762200273,"€69,95",2026-04-20T20:39:37
Skylight,9178342228213,https://www.glossier.com/en-lt/products/skylight,https://www.glossier.com/cdn/shop/files/glossier-skylight-lunar-carousel-01_271x.png?v=1753898847,"€27,95",2026-04-20T20:39:38
Perfecting Skin Tint,8035307880693,https://www.glossier.com/en-lt/products/perfecting-skin-tint,https://www.glossier.com/cdn/shop/files/glossier-makeup-pst-g1-carousel-01_271x.png?v=1762200276,"€34,95",2026-04-20T20:39:38
Wowder Brush,8035305849077,https://www.glossier.com/en-lt/products/wowder-brush,https://www.glossier.com/cdn/shop/files/glossier-makeup-wowder-brush-carousel-01_271x.png?v=1762200237,"€23,95",2026-04-20T20:39:45
Stretch Face Brush,8097737670901,https://www.glossier.com/en-lt/products/stretch-face-brush,https://www.glossier.com/cdn/shop/files/glossier-makeup-stretch-face-brush-carousel-01_271x.png?v=1762200600,"€32,95",2026-04-20T20:39:45
Skywash,8035307520245,https://www.glossier.com/en-lt/products/skywash,https://www.glossier.com/cdn/shop/files/glossier-makeup-skywash-pool-carousel-01_271x.png?v=1762200269,"€20,95",2026-04-20T20:39:47
Milky Jelly Cleansing Balm,9002627596533,https://www.glossier.com/en-lt/products/milky-jelly-cleansing-balm,https://www.glossier.com/cdn/shop/files/glossier-mjc-balm-carousel-01_271x.png?v=1762201805,"€27,95",2026-04-20T20:39:48
Pro Tip,8035304603893,https://www.glossier.com/en-lt/products/pro-tip,https://www.glossier.com/cdn/shop/files/glossier-makeup-pro-tip-carousel-01_271x.png?v=1762200209,"€24,95",2026-04-20T20:39:49
Invisible Shield SPF50,8353877491957,https://www.glossier.com/en-lt/products/invisible-shield-spf50-eu,https://www.glossier.com/cdn/shop/files/glossier-skincare-spf-carousel-01_830a9c74-c395-4955-855c-fc9c358d2f8f_271x.png?v=1762201092,"€37,95",2026-04-20T20:39:50
Brow Flick,8035306242293,https://www.glossier.com/en-lt/products/brow-flick,https://www.glossier.com/cdn/shop/files/glossier-brow-flick-carousel-01_271x.png?v=1762200245,"€20,95",2026-04-20T20:39:52
Super Glow,8035305259253,https://www.glossier.com/en-lt/products/super-glow,https://www.glossier.com/cdn/shop/files/glossier-skincare-super-glow-carousel-01_271x.png?v=1762200224,"€39,95",2026-04-20T20:39:54
Super Bounce,8035305488629,https://www.glossier.com/en-lt/products/super-bounce,https://www.glossier.com/cdn/shop/products/glossier-super-bounce-carousel-01_76a56806-4efa-4df0-9beb-2f030da73fa3_271x.png?v=1762200229,"€39,95",2026-04-20T20:39:55
Super Pure,8035304898805,https://www.glossier.com/en-lt/products/super-pure,https://www.glossier.com/cdn/shop/files/glossier-skincare-super-pure-carousel-01_271x.png?v=1762200217,"€39,95",2026-04-20T20:39:55
Futuredew Solid,8989311336693,https://www.glossier.com/en-lt/products/futuredew-solid,https://www.glossier.com/cdn/shop/files/glossier-futuredew-solid-carousel-01_271x.png?v=1762201781,"€30,95",2026-04-20T20:39:57
